Prey_Name_Clean,TotalWt,N,PW,PN,Pred_common
Trichodon trichodon,308.412,4,0.140366673,0.029625241,Arrowtooth flounder
Unid,82.0965,92,0.037364346,0.681380536,Arrowtooth flounder
Unid Eggs,9.4756,4,0.004312603,0.029625241,Arrowtooth flounder
Zoarcidae,1319.0713,103,0.600345155,0.762849948,Arrowtooth flounder
Agonidae,285.246,56,0.052118497,0.359296805,Pacific halibut
Ammodytidae,10114.968,476,1.848148384,3.054022841,Pacific halibut
Amphipoda,0.037,1,6.76E-06,0.006416014,Pacific halibut
Annelida,712.3406,128,0.13015475,0.82124984,Pacific halibut
Anomura,4950.2537,220,0.904481692,1.411523162,Pacific halibut
Anoplopoma fimbria,683.71,9,0.124923532,0.057744129,Pacific halibut
Appendicularia,0.26,2,4.75E-05,0.012832029,Pacific halibut
Atheresthes evermanni,636.176,1,0.116238395,0.006416014,Pacific halibut
Atheresthes stomias,12548.36899,71,2.292765322,0.45553702,Pacific halibut
Aves,19.524,2,0.003567312,0.012832029,Pacific halibut
Bivalvia,878.2987,300,0.160477653,1.924804312,Pacific halibut
Brachyura,14311.58102,1176,2.614929215,7.545232901,Pacific halibut
Caprellidae,4.09,12,0.000747301,0.076992172,Pacific halibut
Caridea,183.0041,129,0.033437449,0.827665854,Pacific halibut
Cephalopoda,1685.558,73,0.307975398,0.468369049,Pacific halibut
Chionoecetes bairdi,30973.88916,1125,5.659369677,7.218016168,Pacific halibut
Chionoecetes opilio,174.198,14,0.03182845,0.089824201,Pacific halibut
Chionoecetes sp.,2460.946,144,0.449649803,0.92390607,Pacific halibut
Clupeoidei,11728.8645,186,2.143030207,1.193378673,Pacific halibut
Clypeasteroida,18.508,4,0.003381675,0.025664057,Pacific halibut
Cnidaria,1012.957,70,0.185081638,0.449121006,Pacific halibut
Copepoda,0.112,3,2.05E-05,0.019248043,Pacific halibut
Cottidae,3435.638,259,0.627739882,1.661747722,Pacific halibut
Crangonidae,747.4435,379,0.136568548,2.431669447,Pacific halibut
Crustacea,41.4478,21,0.007573102,0.134736302,Pacific halibut
Cumacea,21.0888,18,0.003853223,0.115488259,Pacific halibut
Cyclopteridae,1310.397,23,0.239428152,0.147568331,Pacific halibut
Decapoda,0.005,1,9.14E-07,0.006416014,Pacific halibut
Echinodea,122.339,8,0.022353074,0.051328115,Pacific halibut
Echinodermata,86.997,13,0.015895588,0.083408187,Pacific halibut
Euphausiacea,1473.89929,226,0.269302344,1.450019248,Pacific halibut
Fish Eggs,24.884,5,0.00454666,0.032080072,Pacific halibut
Gadidae,9061.54453,172,1.655672947,1.103554472,Pacific halibut
Gadus chalcogrammus,234327.1404,1154,42.81489826,7.404080585,Pacific halibut
Gadus macrocephalus,9162.009,46,1.674029233,0.295136661,Pacific halibut
Gammaridea,93.7942,192,0.017137533,1.231874759,Pacific halibut
Gastropod,356.79748,147,0.06519197,0.943154113,Pacific halibut
Hexagrammidae,604.01,4,0.11036121,0.025664057,Pacific halibut
Hippoglossoides elassodon,1694.796,18,0.309663312,0.115488259,Pacific halibut
Hippoglossus stenolepis,96.525,7,0.017636489,0.044912101,Pacific halibut
Hippolytidae,455.8276,160,0.08328618,1.026562299,Pacific halibut
Holothuroidea,50.341,6,0.009198016,0.038496086,Pacific halibut
Hyperiidea,2.171,5,0.000396673,0.032080072,Pacific halibut
Invertebrate,198.7965,59,0.036322945,0.378544848,Pacific halibut
Isopoda,154.23212,59,0.0281804,0.378544848,Pacific halibut
Lepidopsetta bilineata,582.01,3,0.106341497,0.019248043,Pacific halibut
Lepidopsetta polyxystra,318.582,5,0.058209458,0.032080072,Pacific halibut
Lepidopsetta sp.,1478.833,12,0.270203803,0.076992172,Pacific halibut
Liminda aspera,1185.188,7,0.216550689,0.044912101,Pacific halibut
Lithodidae,908.218,36,0.165944334,0.230976517,Pacific halibut
Majidae,27688.33931,1603,5.059053033,10.28487104,Pacific halibut
Mollusca,253.297,56,0.046280961,0.359296805,Pacific halibut
Myctophidae,24.697,2,0.004512493,0.012832029,Pacific halibut
Mysidacea,27.825,30,0.005084023,0.192480431,Pacific halibut
Octopoda,24599.05739,329,4.494597329,2.110868728,Pacific halibut
Offal,21547.27658,165,3.93699361,1.058642371,Pacific halibut
Ophiurida,144.9492,90,0.026484279,0.577441293,Pacific halibut
Osmeridae,13935.661,456,2.546243285,2.925702554,Pacific halibut
Paguridae,23469.63983,3083,4.288236692,19.78057231,Pacific halibut
Pandalidae,1767.35005,209,0.322919968,1.340947004,Pacific halibut
Paralithodes camtschaticus,28.16,1,0.005145232,0.006416014,Pacific halibut
Pholidae,160.321,30,0.029292925,0.192480431,Pacific halibut
Pleurogrammus monopterygius,4072.773,13,0.7441535,0.083408187,Pacific halibut
Pleuronectiformes,12166.812,276,2.223049438,1.770819967,Pacific halibut
Polychaeta,1671.26692,259,0.305364214,1.661747722,Pacific halibut
Rajidae,858.284,12,0.156820683,0.076992172,Pacific halibut
Salmonidae,14282.43698,21,2.609604184,0.134736302,Pacific halibut
Sebastes sp.,19275.38918,88,3.521887499,0.564609265,Pacific halibut
Sebastolobus sp.,847.37,4,0.15482654,0.025664057,Pacific halibut
Stichaeidae,935.995,102,0.171019587,0.654433466,Pacific halibut
Teleostei unid,10953.95181,1267,2.001442647,8.129090209,Pacific halibut
Teuthida,3144.987,69,0.574633814,0.442704992,Pacific halibut
Trichodon trichodon,673.29,8,0.12301965,0.051328115,Pacific halibut
Tunicata,94.264,8,0.017223372,0.051328115,Pacific halibut
Unid,2210.34477,102,0.403861398,0.654433466,Pacific halibut
Unid Eggs,113.578,9,0.020752315,0.057744129,Pacific halibut
Zoarcidae,977.646,47,0.178629816,0.301552675,Pacific halibut
Agonidae,434.459,169,0.156478851,0.440574572,Pacific cod
Ammodytidae,9430.45,488,3.39655981,1.272191663,Pacific cod
Amphipoda,8.47,35,0.003050635,0.091243255,Pacific cod
Annelida,1694.17191,549,0.610188933,1.431215621,Pacific cod
Anomura,7837.09165,755,2.82268084,1.968247347,Pacific cod
Anoplopoma fimbria,608.84998,1,0.219289151,0.00260695,Pacific cod
Appendicularia,38.8648,34,0.013997913,0.088636304,Pacific cod
Atheresthes evermanni,28.27,1,0.01018199,0.00260695,Pacific cod
Atheresthes stomias,3657.951,64,1.31748213,0.166844808,Pacific cod
Aves,36.4992,6,0.013145896,0.015641701,Pacific cod
Bivalvia,868.7006,669,0.312879401,1.744049636,Pacific cod
Brachyura,4188.91323,1582,1.508718494,4.124195104,Pacific cod
Caprellidae,29.518,61,0.010631481,0.159023958,Pacific cod
Caridea,3917.84725,1731,1.411088814,4.512630673,Pacific cod
Cephalopoda,308.2237,150,0.111012755,0.391042519,Pacific cod
Chaetognatha,1.9179,10,0.000690769,0.026069501,Pacific cod
Chionoecetes bairdi,25174.3111,2132,9.067017303,5.558017675,Pacific cod
Chionoecetes opilio,47.547,10,0.017124976,0.026069501,Pacific cod
Chionoecetes sp.,1593.488,173,0.573925666,0.451002372,Pacific cod
Clupeoidei,1883.711,40,0.678455119,0.104278005,Pacific cod
Clypeasteroida,5.3805,3,0.001937892,0.00782085,Pacific cod
Cnidaria,323.6625,51,0.116573338,0.132954457,Pacific cod
Copepoda,91.38818,165,0.032915229,0.430146771,Pacific cod
Cottidae,4694.69504,751,1.690885641,1.957819547,Pacific cod
Crangonidae,7559.17885,3541,2.722585145,9.231210407,Pacific cod
Crustacea,264.84704,168,0.095389808,0.437967622,Pacific cod
Ctenophora sp.,60.59,5,0.021822666,0.013034751,Pacific cod
Cumacea,288.99496,154,0.10408715,0.40147032,Pacific cod
Cyclopteridae,1708.444,26,0.615329303,0.067780703,Pacific cod
Decapoda,18.86815,22,0.006795731,0.057352903,Pacific cod
Echinodea,60.927,9,0.021944043,0.023462551,Pacific cod
Echinodermata,146.389,43,0.052724843,0.112098856,Pacific cod
Euphausiacea,8705.24704,2468,3.135363872,6.433952918,Pacific cod
Fish Eggs,107.66,12,0.038775841,0.031283402,Pacific cod
Gadidae,3097.8327,99,1.115744641,0.258088063,Pacific cod
Gadus chalcogrammus,74455.85905,639,26.81672438,1.665841132,Pacific cod
Gadus macrocephalus,1108.96,9,0.399413492,0.023462551,Pacific cod
Gammaridea,2010.69451,3081,0.724190697,8.032013348,Pacific cod
Gastropod,685.7463,585,0.246984855,1.525065825,Pacific cod
Hexagrammidae,0.46,1,0.000165678,0.00260695,Pacific cod
Hippoglossoides elassodon,1944.02901,77,0.700179822,0.20073516,Pacific cod
Hippoglossus stenolepis,7.272,7,0.002619152,0.018248651,Pacific cod
Hippolytidae,2329.76065,1513,0.839108567,3.944315545,Pacific cod
Holothuroidea,124.933,27,0.044997048,0.070387653,Pacific cod
Hyperiidea,44.97571,109,0.016198876,0.284157564,Pacific cod
Invertebrate,496.11805,109,0.178686556,0.284157564,Pacific cod
Isopoda,274.14675,315,0.098739279,0.821189291,Pacific cod
Lepidopsetta bilineata,190,4,0.068432192,0.010427801,Pacific cod
Lepidopsetta polyxystra,32.895,4,0.011847773,0.010427801,Pacific cod
Lepidopsetta sp.,245.638,14,0.088471299,0.036497302,Pacific cod
Liminda aspera,76.886,2,0.027691987,0.0052139,Pacific cod
Lithodidae,763.0317,25,0.274820693,0.065173753,Pacific cod
Macrouridae,1.75,1,0.000630297,0.00260695,Pacific cod
Majidae,5280.56051,790,1.901896474,2.059490602,Pacific cod
Mollusca,201.33547,93,0.072514882,0.242446362,Pacific cod
Myctophidae,47.604,11,0.017145506,0.028676451,Pacific cod
Mysidacea,81.3095,281,0.029285196,0.732552986,Pacific cod
Non-teleost fish,9.826,2,0.003539025,0.0052139,Pacific cod
Octopoda,4109.96145,776,1.480282477,2.0229933,Pacific cod
Offal,10031.53789,105,3.613053293,0.273729764,Pacific cod
Ophiurida,199.04105,82,0.071688502,0.213769911,Pacific cod
Osmeridae,5923.7,238,2.133535658,0.620454131,Pacific cod
Paguridae,10005.54549,1863,3.603691625,4.85674809,Pacific cod
Pandalidae,22213.89274,3200,8.000765107,8.342240413,Pacific cod
Pholidae,48.62,11,0.017511438,0.028676451,Pacific cod
Pleurogrammus monopterygius,7488.3107,24,2.697060603,0.062566803,Pacific cod
Pleuronectiformes,6282.35351,496,2.262711689,1.293047264,Pacific cod
Polychaeta,8996.19844,3984,3.240155673,10.38608931,Pacific cod
Rajidae,340.442,8,0.122616801,0.020855601,Pacific cod
Salmonidae,792.5,3,0.285434274,0.00782085,Pacific cod
Sebastes sp.,2679.40999,56,0.965041571,0.145989207,Pacific cod
Sebastolobus sp.,114.288,4,0.041163044,0.010427801,Pacific cod
Stichaeidae,3147.079,481,1.133481653,1.253943012,Pacific cod
Teleostei unid,9782.0917,2224,3.523210401,5.797857087,Pacific cod
Teuthida,1874.69101,257,0.675206394,0.669986183,Pacific cod
Thecosomata,85.561,35,0.030816457,0.091243255,Pacific cod
Trichodon trichodon,946.13,9,0.340767104,0.023462551,Pacific cod
Tunicata,28.281,11,0.010185952,0.028676451,Pacific cod
Unid,762.27568,290,0.274548398,0.756015537,Pacific cod
Unid Eggs,36.6745,18,0.013209034,0.046925102,Pacific cod
Zoarcidae,2421.3689,308,0.872103059,0.80294064,Pacific cod
Agonidae,2.879,5,0.005884971,0.018040772,Walleye pollock
Ammodytidae,380.157,78,0.777079817,0.281436045,Walleye pollock
Amphipoda,23.5025,101,0.048041515,0.364423597,Walleye pollock
Annelida,42.922,25,0.087736961,0.090203861,Walleye pollock
Anomura,146.6196,80,0.299705469,0.288652354,Walleye pollock
Appendicularia,2764.64619,1311,5.651219776,4.730290456,Walleye pollock
Atheresthes stomias,66.762,16,0.136468361,0.057730471,Walleye pollock
Aves,0.084,1,0.000171705,0.003608154,Walleye pollock
Bathylagidae,0.208,2,0.000425173,0.007216309,Walleye pollock
Bivalvia,10.40515,65,0.021269192,0.234530038,Walleye pollock
Brachyura,100.8476,354,0.206142816,1.277286668,Walleye pollock
Caprellidae,0.958,8,0.00195825,0.028865235,Walleye pollock
Caridea,1653.6468,1402,3.380223311,5.058632509,Walleye pollock
Cephalopoda,11.914,53,0.024353435,0.191232185,Walleye pollock
Chaetognatha,59.6546,386,0.121940108,1.39274761,Walleye pollock
Chionoecetes bairdi,59.639,46,0.12190822,0.165975104,Walleye pollock
Chionoecetes sp.,6.639,4,0.013570796,0.014432618,Walleye pollock
Clupeoidei,245.384,9,0.501590011,0.03247339,Walleye pollock
Clypeasteroida,0.59,1,0.00120602,0.003608154,Walleye pollock
Cnidaria,17.65,17,0.036078406,0.061338625,Walleye pollock
Copepoda,2987.6392,4392,6.107040312,15.84701425,Walleye pollock
Cottidae,82.308,42,0.168245976,0.151542486,Walleye pollock
Crangonidae,843.41652,563,1.724029691,2.031390944,Walleye pollock
Crustacea,49.42935,250,0.101038651,0.902038607,Walleye pollock
Ctenophora sp.,241.3675,47,0.493379874,0.169583258,Walleye pollock
Cumacea,1067.2368,270,2.181541252,0.974201696,Walleye pollock
Cyclopteridae,22.705,21,0.046411344,0.075771243,Walleye pollock
Decapoda,48.6175,53,0.099379146,0.191232185,Walleye pollock
Echinodea,0.048,2,9.81E-05,0.007216309,Walleye pollock
Echinodermata,21.234,5,0.043404469,0.018040772,Walleye pollock
Euphausiacea,21861.31671,8371,44.68676888,30.20386073,Walleye pollock
Fish Eggs,0.03,8,6.13E-05,0.028865235,Walleye pollock
Gadidae,98.543,37,0.201431978,0.133501714,Walleye pollock
Gadus chalcogrammus,1795.752,168,3.670700885,0.606169944,Walleye pollock
Gadus macrocephalus,3.263,4,0.006669906,0.014432618,Walleye pollock
Gammaridea,341.8547,1000,0.698785996,3.608154429,Walleye pollock
Gastropod,5.6271,33,0.011502368,0.119069096,Walleye pollock
Hippoglossoides elassodon,10.736,7,0.021945483,0.025257081,Walleye pollock
Hippoglossus stenolepis,0.5,1,0.001022051,0.003608154,Walleye pollock
Hippolytidae,301.4504,249,0.616195471,0.898430453,Walleye pollock
Hyperiidea,665.74434,2628,1.36084957,9.482229839,Walleye pollock
Invertebrate,1.94,11,0.003965559,0.039689699,Walleye pollock
Isopoda,14.2424,29,0.029112923,0.104636478,Walleye pollock
Lepidopsetta bilineata,0.15,1,0.000306615,0.003608154,Walleye pollock
Lithodidae,0.026,4,5.31E-05,0.014432618,Walleye pollock
Majidae,4.775,33,0.009760589,0.119069096,Walleye pollock
Mollusca,2.5678,14,0.005248846,0.050514162,Walleye pollock
Myctophidae,131.07,16,0.267920495,0.057730471,Walleye pollock
Mysidacea,681.4076,865,1.392866877,3.121053581,Walleye pollock
Non-teleost fish,1.613,3,0.003297137,0.010824463,Walleye pollock
Octopoda,27.554,15,0.056323196,0.054122316,Walleye pollock
Ophiurida,0.154,4,0.000314792,0.014432618,Walleye pollock
Osmeridae,3467.099,345,7.087105216,1.244813278,Walleye pollock
Paguridae,66.91593,400,0.13678301,1.443261772,Walleye pollock
Pandalidae,5702.2852,1461,11.65605458,5.271513621,Walleye pollock
Pleurogrammus monopterygius,2,1,0.004088205,0.003608154,Walleye pollock
Pleuronectiformes,52.317,56,0.106941303,0.202056648,Walleye pollock
Polychaeta,187.30715,316,0.382874986,1.1401768,Walleye pollock
Reinhardtius hippoglossoides,0.127,1,0.000259601,0.003608154,Walleye pollock
Salmonidae,21.61,1,0.044173052,0.003608154,Walleye pollock
Sebastes sp.,9.371,8,0.019155283,0.028865235,Walleye pollock
Sebastolobus sp.,28.235,1,0.05771523,0.003608154,Walleye pollock
Stichaeidae,91.437,38,0.186906587,0.137109868,Walleye pollock
Teleostei unid,1378.4847,947,2.817763816,3.416922244,Walleye pollock
Teuthida,239.4443,169,0.489448657,0.609778099,Walleye pollock
Thecosomata,341.04225,456,0.697125265,1.64531842,Walleye pollock
Trichodon trichodon,57,1,0.116513834,0.003608154,Walleye pollock
Tunicata,70.348,45,0.143798512,0.162366949,Walleye pollock
Unid,175.049,317,0.357818072,1.143784954,Walleye pollock
Unid Eggs,1.307,8,0.002671642,0.028865235,Walleye pollock
Zoarcidae,120.4225,34,0.246155915,0.122677251,Walleye pollock
Agonidae,23.662,6,0.039645277,0.170842825,Sablefish
Ammodytidae,147.586,26,0.247277822,0.740318907,Sablefish
Amphipoda,44.678,22,0.074857226,0.62642369,Sablefish
Annelida,235.765,53,0.39502023,1.509111617,Sablefish
Anomura,192.121,31,0.321895454,0.882687927,Sablefish
Appendicularia,27.124,9,0.045445799,0.256264237,Sablefish
Atheresthes stomias,66.794,1,0.111912206,0.028473804,Sablefish
Aves,4.87,1,0.008159602,0.028473804,Sablefish
Bivalvia,32.81,8,0.054972595,0.227790433,Sablefish
Brachyura,38.611,25,0.064692071,0.711845103,Sablefish
Caprellidae,0.14,1,0.000234568,0.028473804,Sablefish
Caridea,116.424,150,0.195066423,4.271070615,Sablefish
Cephalopoda,724.014,60,1.21307309,1.708428246,Sablefish
Chaetognatha,0.641,8,0.001073985,0.227790433,Sablefish
Chionoecetes bairdi,30.795,11,0.051596496,0.313211845,Sablefish
Chionoecetes sp.,80.184,3,0.134346922,0.085421412,Sablefish
Clupeoidei,1301.014,29,2.179826733,0.825740319,Sablefish
Clypeasteroida,24.077,2,0.040340602,0.056947608,Sablefish
Cnidaria,2102.948,185,3.523453452,5.267653759,Sablefish
Copepoda,1.934,32,0.003240384,0.911161731,Sablefish
Cottidae,27.953,8,0.046834774,0.227790433,Sablefish
Crangonidae,25.426,38,0.042600829,1.082004556,Sablefish
Crustacea,249.983,22,0.418842246,0.62642369,Sablefish
Ctenophora sp.,619.84,34,1.038531332,0.968109339,Sablefish
Cumacea,53.19,7,0.089118936,0.199316629,Sablefish
Cyclopteridae,259.834,6,0.435347429,0.170842825,Sablefish
Decapoda,22.575,8,0.037824027,0.227790433,Sablefish
Echinodea,0.508,3,0.000851145,0.085421412,Sablefish
Echinodermata,29.128,13,0.048803466,0.370159453,Sablefish
Euphausiacea,1876.083,492,3.14334502,14.00911162,Sablefish
Gadidae,1727.305,72,2.894070022,2.050113895,Sablefish
Gadus chalcogrammus,10233.552,204,17.14614157,5.808656036,Sablefish
Gadus macrocephalus,87.799,3,0.147105725,0.085421412,Sablefish
Gammaridea,289.129,309,0.484430701,8.798405467,Sablefish
Gastropod,34.691,20,0.058124178,0.569476082,Sablefish
Hippolytidae,18.373,19,0.030783648,0.541002278,Sablefish
Holothuroidea,78.965,6,0.132304509,0.170842825,Sablefish
Hyperiidea,14.582,89,0.024431892,2.534168565,Sablefish
Invertebrate,70.188,14,0.117598795,0.398633257,Sablefish
Isopoda,67.093,37,0.112413175,1.053530752,Sablefish
Lithodidae,136.934,4,0.229430578,0.113895216,Sablefish
Macrouridae,695.881,4,1.165936729,0.113895216,Sablefish
Majidae,41.934,10,0.070259701,0.284738041,Sablefish
Mollusca,41.244,17,0.069103617,0.48405467,Sablefish
Myctophidae,155.354,26,0.260292973,0.740318907,Sablefish
Mysidacea,18.383,56,0.030800402,1.59453303,Sablefish
Octopoda,3118.343,27,5.224730429,0.768792711,Sablefish
Offal,18560.852,213,31.09839047,6.064920273,Sablefish
Ophiurida,16.383,20,0.027449437,0.569476082,Sablefish
Osmeridae,2458.471,56,4.119126165,1.59453303,Sablefish
Paguridae,291.638,60,0.488634487,1.708428246,Sablefish
Pandalidae,768.289,176,1.287255096,5.011389522,Sablefish
Pleuronectiformes,540.714,12,0.905957071,0.341685649,Sablefish
Polychaeta,101.477,77,0.17002298,2.192482916,Sablefish
Rajidae,12.093,1,0.020261615,0.028473804,Sablefish
Salmonidae,1018,1,1.705641611,0.028473804,Sablefish
Sebastes sp.,2734.516,10,4.581634847,0.284738041,Sablefish
Sebastolobus sp.,1509.056,13,2.528397551,0.370159453,Sablefish
Stichaeidae,63.588,7,0.106540608,0.199316629,Sablefish
Teleostei unid,2603.528,373,4.362166691,10.62072893,Sablefish
Teuthida,2934.612,170,4.916892277,4.840546697,Sablefish
Thecosomata,6.659,6,0.011157041,0.170842825,Sablefish
Tunicata,115.875,24,0.194146583,0.683371298,Sablefish
Unid,466.643,71,0.781852375,2.021640091,Sablefish
Unid Eggs,46.676,1,0.078204841,0.028473804,Sablefish
Zoarcidae,244.753,10,0.410079471,0.284738041,Sablefish
